Codigo Municipio,Nombre Municipio,Codigo Departamento,Codigo pais
17541,PENSILVANIA,17,CO
17614,RIOSUCIO,17,CO
17616,RISARALDA,17,CO
17653,SALAMINA,17,CO
17662,SAMANÁ,17,CO
17665,SAN JOSÉ,17,CO
17777,SUPÍA,17,CO
17867,VICTORIA,17,CO
17873,VILLAMARÍA,17,CO
17877,VITERBO,17,CO
18001,FLORENCIA,18,CO
18029,ALBANIA,18,CO
18094,BELÉN DE LOS ANDAQUÍES,18,CO
18150,CARTAGENA DEL CHAIRÁ,18,CO
18205,CURILLO,18,CO
18247,EL DONCELLO,18,CO
18256,EL PAUJÍL,18,CO
18410,LA MONTAÑITA,18,CO
18460,MILÁN,18,CO
18479,MORELIA,18,CO
18592,PUERTO RICO,18,CO
18610,SAN JOSÉ DEL FRAGUA,18,CO
18753,SAN VICENTE DEL CAGUÁN,18,CO
18756,SOLANO,18,CO
18785,SOLITA,18,CO
18860,VALPARAÍSO,18,CO
19001,POPAYÁN,19,CO
19022,ALMAGUER,19,CO
19050,ARGELIA,19,CO
19075,BALBOA,19,CO
19100,BOLÍVAR,19,CO
19110,BUENOS AIRES,19,CO
19130,CAJIBÍO,19,CO
19137,CALDONO,19,CO
19142,CALOTO,19,CO
19212,CORINTO,19,CO
19256,EL TAMBO,19,CO
19290,FLORENCIA,19,CO
19300,GUACHENÉ,19,CO
19318,GUAPÍ,19,CO
19355,INZÁ,19,CO
19364,JAMBALÓ,19,CO
19392,LA SIERRA,19,CO
19397,LA VEGA,19,CO
19418,LÓPEZ DE MICAY,19,CO
19450,MERCADERES,19,CO
19455,MIRANDA,19,CO
19473,MORALES,19,CO
19513,PADILLA,19,CO
19517,PÁEZ - BELALCAZAR,19,CO
19532,PATÍA – EL BORDO,19,CO
19533,PIAMONTE,19,CO
19548,PIENDAMÓ – TUNÍA,19,CO
19573,PUERTO TEJADA,19,CO
19585,PURACÉ - COCONUCO,19,CO
19622,ROSAS,19,CO
19693,SAN SEBASTIÁN,19,CO
19698,SANTANDER DE QUILICHAO,19,CO
19701,SANTA ROSA,19,CO
19743,SILVIA,19,CO
19760,SOTARA,19,CO
19780,SUÁREZ,19,CO
19785,SUCRE,19,CO
19807,TIMBÍO,19,CO
19809,TIMBIQUÍ,19,CO
19821,TORIBÍO,19,CO
19824,TOTORÓ,19,CO
19845,VILLA RICA,19,CO
20001,VALLEDUPAR,20,CO
20011,AGUACHICA,20,CO
20013,AGUSTÍN CODAZZI,20,CO
20032,ASTREA,20,CO
20045,BECERRIL,20,CO
20060,BOSCONIA,20,CO
20175,CHIMICHAGUA,20,CO
20178,CHIRIGUANÁ,20,CO
20228,CURUMANÍ,20,CO
20238,EL COPEY,20,CO
20250,EL PASO,20,CO
20295,GAMARRA,20,CO
20310,GONZÁLEZ,20,CO
20383,LA GLORIA,20,CO
20400,LA JAGUA DE IBIRICO,20,CO
20443,MANAURE BALCÓN DEL CESAR,20,CO
20517,PAILITAS,20,CO
20550,PELAYA,20,CO
20570,PUEBLO BELLO,20,CO
20614,RÍO DE ORO,20,CO
20621,LA PAZ,20,CO
20710,SAN ALBERTO,20,CO
20750,SAN DIEGO,20,CO
20770,SAN MARTÍN,20,CO
20787,TAMALAMEQUE,20,CO
23001,MONTERÍA,23,CO
23068,AYAPEL,23,CO
23079,BUENAVISTA,23,CO
23090,CANALETE,23,CO
23162,CERETÉ,23,CO
23168,CHIMÁ,23,CO
23182,CHINÚ,23,CO
23189,CIÉNAGA DE ORO,23,CO
23300,COTORRA,23,CO
23350,LA APARTADA,23,CO
23417,LORICA,23,CO
23419,LOS CÓRDOBAS,23,CO
23464,MOMIL,23,CO
23466,MONTELÍBANO,23,CO
23500,MOÑITOS,23,CO
23555,PLANETA RICA,23,CO
23570,PUEBLO NUEVO,23,CO
23574,PUERTO ESCONDIDO,23,CO
23580,PUERTO LIBERTADOR,23,CO
23586,PURÍSIMA DE LA CONCEPCIÓN,23,CO
23660,SAHAGÚN,23,CO
23670,SAN ANDRÉS DE SOTAVENTO,23,CO
23672,SAN ANTERO,23,CO
23675,SAN BERNARDO DEL VIENTO,23,CO
23678,SAN CARLOS,23,CO
23682,SAN JOSÉ DE URÉ,23,CO
23686,SAN PELAYO,23,CO
23807,TIERRALTA,23,CO
23815,TUCHÍN,23,CO
23855,VALENCIA,23,CO
25001,AGUA DE DIOS,25,CO
25019,ALBÁN,25,CO
25035,ANAPOIMA,25,CO
25040,ANOLAIMA,25,CO
25053,ARBELÁEZ,25,CO
25086,BELTRÁN,25,CO
25095,BITUIMA,25,CO
25099,BOJACÁ,25,CO
25120,CABRERA,25,CO
25123,CACHIPAY,25,CO
25126,CAJICÁ,25,CO
25148,CAPARRAPÍ,25,CO
25151,CÁQUEZA,25,CO
25154,CARMEN DE CARUPA,25,CO
25168,CHAGUANÍ,25,CO
25175,CHÍA,25,CO
25178,CHIPAQUE,25,CO
25181,CHOACHÍ,25,CO
25183,CHOCONTÁ,25,CO
25200,COGUA,25,CO
25214,COTA,25,CO
25224,CUCUNUBÁ,25,CO
25245,EL COLEGIO,25,CO
25258,EL PEÑÓN,25,CO
25260,EL ROSAL,25,CO
25269,FACATATIVÁ,25,CO
25279,FÓMEQUE,25,CO
25281,FOSCA,25,CO
25286,FUNZA,25,CO
25288,FÚQUENE,25,CO
25290,FUSAGASUGÁ,25,CO
25293,GACHALÁ,25,CO
25295,GACHANCIPÁ,25,CO
25297,GACHETÁ,25,CO
25299,GAMA,25,CO
25307,GIRARDOT,25,CO
25312,GRANADA,25,CO
25317,GUACHETÁ,25,CO
25320,GUADUAS,25,CO
25322,GUASCA,25,CO
25324,GUATAQUÍ,25,CO
25326,GUATAVITA,25,CO
25328,GUAYABAL DE SÍQUIMA,25,CO
